software, 693
patient, 601
may, 567
system, 530
image, 506
result, 453
issue, 339
incorrect, 291
version, 260
potential, 257
data, 256
error, 230
using, 196
user, 172
value, 161
report, 159
display, 156
dose, 146
treatment, 141
displayed, 136
safety, 126
aware, 122
study, 120
due, 120
ge, 118
sample, 116
healthcare, 112
measurement, 112
could, 109
anomaly, 108
become, 104
used, 103
monitor, 101
cause, 101
ct, 96
information, 95
plan, 94
certain, 91
associated, 87
occur, 86
one, 85
calculation, 84
identified, 82
test, 81
device, 80
time, 79
field, 78
set, 77
problem, 70
position, 70
wrong, 70
use, 68
file, 67
application, 67
incorrectly, 66
order, 66
correction, 66
different, 65
number, 65
scan, 65
customer, 63
update, 62
setting, 59
record, 59
lead, 58
two, 57
beam, 57
resulting, 56
mode, 56
imaging, 55
v, 55
screen, 55
reported, 54
series, 54
multiple, 53
dicom, 53
recently, 53
change, 52
loss, 51
id, 51
parameter, 51
case, 50
feature, 50
protocol, 50
message, 49
affected, 49
view, 48
option, 47
workstation, 47
possible, 46
exam, 46
function, 46
station, 46
defect, 45
specific, 45
occurs, 45
module, 45
condition, 44
planning, 44
b, 43
laboratory, 42
product, 42
syngo, 42
related, 42
another, 41
firm, 41
selected, 41
volume, 41
instrument, 41
database, 41
philip, 41
name, 40
pac, 40
siemens, 40
unit, 39
running, 39
rt, 39
impact, 39
following, 38
reference, 38
ecg, 38
operator, 38
received, 37
risk, 37
x, 36
correct, 36
clinical, 36
current, 36
viewer, 36
performed, 36
discovered, 35
inaccurate, 35
pet, 35
potentially, 35
assay, 34
workflow, 34
orientation, 34
correctly, 34
acquisition, 34
found, 34
circumstance, 33
interface, 33
analyzer, 33
within, 33
medication, 33
configured, 33
saved, 33
e, 33
radiation, 32
affect, 32
range, 31
monitoring, 31
cobas, 31
sent, 31
centricity, 31
initiated, 31
appear, 31
generated, 31
without, 30
alarm, 30
diagnosis, 30
client, 30
xray, 30
prior, 30
delivery, 29
date, 29
upgrade, 29
manual, 28
reporting, 28
computer, 28
line, 28
became, 28
unintended, 28
reconstruction, 28
new, 27
default, 27
acquired, 27
recall, 27
medical, 27
operation, 27
server, 27
artifact, 27
mlc, 27
event, 27
control, 27
calculated, 27
delay, 26
label, 26
review, 26
address, 25
missing, 25
stored, 25
location, 25
printed, 25
mistreatment, 25
higher, 25
bug, 25
scanner, 25
gantry, 25
malfunction, 24
bed, 24
failure, 24
process, 24
inr, 24
previous, 24
point, 24
management, 24
changed, 24
communication, 24
erroneous, 24
carescape, 24
code, 23
exists, 23
transfer, 23
match, 23
ultrasound, 23
