may, 173
power, 156
battery, 136
failure, 81
device, 69
unit, 56
supply, 56
potential, 55
board, 54
result, 52
cause, 52
circuit, 48
component, 48
system, 44
due, 43
alarm, 39
malfunction, 38
pump, 35
loss, 35
electrical, 35
patient, 34
fail, 33
monitor, 32
could, 32
ventilator, 31
therapy, 29
smoke, 28
shock, 26
ac, 26
fuse, 26
short, 25
resulting, 25
product, 23
medical, 23
charge, 22
energy, 22
lead, 22
external, 21
model, 21
incorrect, 21
internal, 20
operation, 20
used, 20
overheating, 19
use, 19
delivery, 19
overheat, 19
time, 19
assembly, 19
shut, 18
complaint, 18
connector, 18
voltage, 18
generator, 18
operate, 18
causing, 18
cord, 17
defibrillator, 17
condition, 17
connection, 17
without, 17
switch, 16
charging, 16
recalling, 16
received, 15
pack, 15
defective, 15
turn, 15
damaged, 15
unexpected, 15
report, 14
potentially, 14
audible, 14
recall, 14
initiated, 14
user, 13
wire, 13
premature, 13
high, 13
current, 13
become, 13
display, 13
capacitor, 12
caused, 12
function, 12
burn, 12
electric, 12
wiring, 12
issue, 12
printed, 11
experience, 11
foot, 11
plug, 11
pcb, 11
charger, 11
operating, 11
rf, 11
alaris, 11
pc, 11
installed, 10
transformer, 10
fire, 10
defect, 10
affected, 10
warning, 10
stop, 10
properly, 10
button, 10
surgical, 10
inability, 10
control, 10
damage, 10
motor, 9
controller, 9
certain, 9
deliver, 9
possible, 9
firm, 9
output, 9
main, 9
excessive, 9
heat, 9
faulty, 9
increase, 9
electronic, 9
number, 9
level, 9
newport, 9
start, 9
back, 9
module, 9
intermittent, 9
table, 9
occur, 9
ht, 9
cable, 9
mode, 8
interruption, 8
within, 8
infusion, 8
plastic, 8
v, 8
electrostatic, 8
discharge, 8
audio, 8
occurs, 8
identified, 8
eri, 8
also, 7
risk, 7
customer, 7
implantable, 7
small, 7
rate, 7
lifepak, 7
low, 7
shutdown, 7
pca, 7
intended, 7
emission, 7
processor, 7
cart, 7
equipment, 7
case, 7
wireless, 7
associated, 7
message, 7
confirmed, 7
pacing, 6
end, 6
activate, 6
safety, 6
fault, 6
le, 6
would, 6
connected, 6
temperature, 6
dc, 6
aed, 6
backup, 6
problem, 6
design, 6
key, 6
flame, 6
inoperable, 6
sign, 6
